name,distance,roomtype,rate,number
Ann Stephenson House,1.7miles(2.7km),Single room (not en-suite)  9m² to 11.9m²,137.62,75
Arthur Tattersall House,0.1miles(0.2km),Twin room (not en-suite),125.44,40
Arthur Tattersall House,0.1miles(0.2km),Single room (not en-suite)  9m² to 11.9m²,187.95,28
Arthur Tattersall House,0.1miles(0.2km),1 bedroom flat,297.50,1
Arthur Tattersall House,0.1miles(0.2km),Large single room (not en-suite) 12m² and above,210.21,18
Astor College,0.4miles(0.6km),Small single room (not en-suite) below 9m²,173.88,46
Astor College,0.4miles(0.6km),Single room (not en-suite)  9m² to 11.9m²,197.33,132
Astor College,0.4miles(0.6km),Large single room (not en-suite) 12m² and above,220.71,6
Astor College,0.4miles(0.6km),Twin room (not en-suite),131.74,3
Astor College,0.4miles(0.6km),En-suite single room,254.24,79
Astor College,0.4miles(0.6km),Large en-suite single room,276.78,6
Astor College,0.4miles(0.6km),Large en-suite single studio,290.99,4
Astor College,0.4miles(0.6km),Large duplex en-suite Single Room,284.13,6
Astor College,0.4miles(0.6km),Duplex en-suite Single Room,276.78,6
Bernard Johnson House,5.2miles(8.3km),Standard en-suite single studio,147.98,1
Bernard Johnson House,5.2miles(8.3km),1 bedroom flat,196.00,13
Bernard Johnson House,5.2miles(8.3km),2 bedroom flat,239.89,2
Campbell House East,0.1miles(0.2km),Twin room (not en-suite),125.44,9
Campbell House East,0.1miles(0.2km),Single room (not en-suite)  9m² to 11.9m²,187.95,27
Campbell House East,0.1miles(0.2km),Small single room (not en-suite) below 9m²,165.69,35
Campbell House East,0.1miles(0.2km),Large single room (not en-suite) 12m² and above,210.21,34
Campbell House West,0.2miles(0.3km),Twin room (not en-suite),125.44,23
Campbell House West,0.2miles(0.3km),Single room (not en-suite)  9m² to 11.9m²,187.95,2
Campbell House West,0.2miles(0.3km),Small single room (not en-suite) below 9m²,165.69,3
Campbell House West,0.2miles(0.3km),Large single room (not en-suite) 12m² and above,210.21,34
Endsleigh Gardens,0.2miles(0.3km),Single room (not en-suite)  9m² to 11.9m²,187.95,3
Endsleigh Gardens,0.2miles(0.3km),En-suite single studio,241.50,3
Endsleigh Gardens,0.2miles(0.3km),Large en-suite single studio,277.13,12
Endsleigh Gardens,0.2miles(0.3km),1 bedroom flat,296.94,2
Endsleigh Gardens,0.2miles(0.3km),Large single room (not en-suite) 12m² and above,210.21,7
Frances Gardner House,0.9miles(1.4km),En-suite single room,215.95,213
Frances Gardner House,0.9miles(1.4km),En-suite double room (couple),274.33,1
Goldsmid House,2.7miles(4.3km),En-suite single room,205.59,154
Gordon Square,0.2miles(0.3km),2 bedroom flat,378.70,1
Hawkridge House,2.0miles(3.2km),Single room (not en-suite)  9m² to 11.9m²,135.59,234
Ian Baker House (closed for 2018/19),0.2miles(0.3km),Single room (not en-suite)  9m² to 11.9m²,-,-
Ian Baker House (closed for 2018/19),0.2miles(0.3km),En-suite single room,-,-
Ian Baker House (closed for 2018/19),0.2miles(0.3km),Large single room (not en-suite) 12m² and above,-,-
James Lighthill House,1.1miles(1.8km),Large en-suite single studio,274.47,1
James Lighthill House,1.1miles(1.8km),En-suite single room,215.95,205
John Adams Hall,0.2miles(0.3km),Single room (not en-suite)  9m² to 11.9m²,187.95,50
John Adams Hall,0.2miles(0.3km),Twin room (not en-suite),125.44,4
John Adams Hall,0.2miles(0.3km),En-suite single room,242.62,49
John Adams Hall,0.2miles(0.3km),Small single room (not en-suite) below 9m²,165.62,22
John Adams Hall,0.2miles(0.3km),Large single room (not en-suite) 12m² and above,210.21,28
John Dodgson House,0.5miles(0.8km),En-suite single room,242.62,205
John Tovell House,0.1miles(0.2km),Twin room (not en-suite),125.44,24
John Tovell House,0.1miles(0.2km),Single room (not en-suite)  9m² to 11.9m²,187.95,4
John Tovell House,0.1miles(0.2km),Small single room (not en-suite) below 9m²,165.69,7
John Tovell House,0.1miles(0.2km),Large single room (not en-suite) 12m² and above,210.21,6
Langton Close,1.1miles(1.8km),Twin room (not en-suite),125.44,1
Langton Close,1.1miles(1.8km),Single room (not en-suite)  9m² to 11.9m²,168.00,120
Langton Close,1.1miles(1.8km),1 bedroom flat,272.86,2
Langton Close,1.1miles(1.8km),Small single room (not en-suite) below 9m²,146.02,125
Langton Close,1.1miles(1.8km),Large single room (not en-suite) 12m² and above,190.12,22
Max Rayne House,1.7miles(2.7km),Twin room (not en-suite),97.79,28
Max Rayne House,1.7miles(2.7km),Single room (not en-suite)  9m² to 11.9m²,129.15,241
Max Rayne House,1.7miles(2.7km),1 bedroom flat,247.94,1
Neil Sharp House,1.7miles(2.7km),1 bedroom flat,247.94,18
Neil Sharp House,1.7miles(2.7km),Bungalow (two bedroom),384.16,1
New Hall,2.0miles(3.2km),En-suite single room,198.80,231
New Hall,2.0miles(3.2km),En-suite single studio,214.69,80
New Hall,2.0miles(3.2km),Large en-suite single studio,227.92,34
Prankerd House,0.2miles(0.3km),En-suite single room,242.62,40
Prankerd House,0.2miles(0.3km),En-suite double room (couple),276.99,4
Prankerd House,0.2miles(0.3km),1 bedroom flat,296.94,1
Schafer House,0.4miles(0.6km),Single room (not en-suite)  9m² to 11.9m²,187.95,355
Schafer House,0.4miles(0.6km),Small single room (not en-suite) below 9m²,165.69,2
Schafer House,0.4miles(0.6km),Large single room (not en-suite) 12m² and above,210.21,9
St Pancras Way (run by UNITE),1.1miles(1.8km),En-suite single room,245.00,296
Stapleton House,2.7miles(4.3km),En-suite single room,217.00,568
